			Протокол прохода WK_00003 над изображением WK_00005 с шагом 1000 пикселей.


Имитация высоты полета на 50.0 м. Высота опорного изображения: 500 м.
-------------------------------------------------------------------------------------------------------------------------
| номер | Кол-во КТ опорного | Кол-во КТ обл. | Кол-во   | Кол-во общих КТ | Вариант               | Отклонение         |
| п/п   | изображения        | видимости      | общих КТ | после фильтра   | искажения             | от истины          |
-------------------------------------------------------------------------------------------------------------------------
|  89   |       227176       |      1466      |    7     |        6        |      Яркость +30      |   [-2662, -1292]   |
|  90   |       227176       |      1449      |    9     |        9        |      Яркость +30      |   [-3202, -1287]   |
|  91   |       227176       |      859       |    4     |        1        |      Яркость +30      |     не найдено     |
|  92   |       227176       |      1882      |   100    |       100       |      Яркость +30      |   [-1361, -1986]   |
|  93   |       227176       |      548       |    13    |       13        |      Яркость +30      |   [-1935, -1923]   |
|  94   |       227176       |      354       |    18    |        5        |      Яркость +30      |   [-2545, -1863]   |
|  95   |       227176       |      1254      |    11    |       10        |      Яркость +30      |   [-3146, -1867]   |
|  96   |       227176       |       0        |    0     |        0        |      Яркость +30      |     не найдено     |
|  97   |       227176       |       15       |    0     |        0        |      Яркость +30      |     не найдено     |
|  98   |       227176       |      181       |    20    |        0        |      Яркость +30      |     не найдено     |
|  99   |       227176       |       32       |    2     |        0        |      Яркость +30      |     не найдено     |
|  100  |       227176       |      977       |    15    |        4        |      Яркость +30      |   [-3184, -2416]   |
-------------------------------------------------------------------------------------------------------------------------
|  101  |       227176       |      1136      |    5     |        0        |      Яркость -30      |     не найдено     |
|  102  |       227176       |      2619      |    11    |        0        |      Яркость -30      |     не найдено     |
|  103  |       227176       |      2571      |    48    |        0        |      Яркость -30      |     не найдено     |
|  104  |       227176       |      2188      |    3     |        0        |      Яркость -30      |     не найдено     |
|  105  |       227176       |      1534      |    6     |        2        |      Яркость -30      |   [-3298, -457]    |
|  106  |       227176       |      1117      |    2     |        0        |      Яркость -30      |     не найдено     |
|  107  |       227176       |      1106      |    15    |       11        |      Яркость -30      |   [-1361, -1368]   |
|  108  |       227176       |      2058      |    12    |        0        |      Яркость -30      |     не найдено     |
|  109  |       227176       |      1541      |    8     |        3        |      Яркость -30      |   [-2494, -1302]   |
|  110  |       227176       |      1663      |    9     |        9        |      Яркость -30      |   [-3210, -1280]   |
|  111  |       227176       |      862       |    5     |        0        |      Яркость -30      |     не найдено     |
|  112  |       227176       |      1923      |    98    |       98        |      Яркость -30      |   [-1361, -1986]   |
|  113  |       227176       |      539       |    17    |       10        |      Яркость -30      |   [-1943, -1855]   |
|  114  |       227176       |      357       |    17    |        9        |      Яркость -30      |   [-2587, -1849]   |
|  115  |       227176       |      1684      |    9     |        8        |      Яркость -30      |   [-3130, -1880]   |
|  116  |       227176       |       9        |    2     |        0        |      Яркость -30      |     не найдено     |
|  117  |       227176       |      1043      |    0     |        0        |      Яркость -30      |     не найдено     |
